Table 1 Pivot
Period,202401,202402,202403,202404,202405,202406,202407,202408,202409,202410,202411,202412,Grand Total
Detail,Total Pay (Sum),,,,,,,,,,,,
Ahorro pa la moto,0,0,0,0,0,0,0,0,0,0,0,0,0
TC Banco de Bogota,1300,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,14500
Credito Fondecom (fondegarantias),1010,1010,1010,1010,1010,1010,1010,1010,1010,1010,,,10100
Hipoteca,800,7300,,,,,,,,,,,8100
Comida,600,600,600,600,600,600,600,600,600,600,600,600,7200
Alquiler,550,550,550,550,550,550,550,550,550,550,550,550,6600
💜🖤,250,250,250,250,250,250,350,350,350,350,350,350,3600
Credito Bancolombia,250,250,250,250,250,250,250,250,250,250,250,250,3000
Regalos,,300,300,,100,350,,,400,,200,1200,2850
Inverciones Zukaritas,200,200,200,200,200,200,200,200,200,200,200,200,2400
MI PAGO (Tyba),200,200,200,200,200,200,200,200,200,200,,200,2200
Vuelos Brazil,,,,,,2000,,,,,,,2000
Calistenia,160,160,160,160,160,160,160,160,160,160,160,160,1920
Las bendis,150,150,150,150,150,150,150,150,150,150,150,150,1800
Servicios Jamundi,130,130,130,130,130,130,130,130,130,130,130,130,1560
Club del 1%,100,100,100,100,100,100,100,100,100,100,100,100,1200
Salida Teathron (Tyba),100,100,100,100,100,100,100,100,100,50,,,950
Seguro bici,50,50,50,50,50,50,50,50,50,45,45,50,590
Datos,50,50,50,50,50,,50,48,31,39,50,50,518
Mantenimiento Bici,,,120,,,120,,,120,,,120,480
Ropa,120,60,120,120,,,,,,,,,420
BEPS,30,30,30,30,30,30,30,30,30,30,30,30,360
Cuadro manifestacion Moto,350,,,,,,,,,,,,350
Peluquería o belleza,30,30,30,30,30,30,30,30,,30,,30,300
Salida BIDS,,,300,,,,,,,,,,300
Higiene personal,100,,80,,100,,,,,,,,280
Impuestos a la propiedad,,,,250,,,,,,,,,250
iCloud,12,12,12,12,12,12,12,12,12,12,12,12,144
Music,9,9,9,9,9,9,9,9,9,9,9,9,108
Grand Total,6551,12741,6001,5451,5281,7501,5181,5179,5652,5115,4036,5391,74080
